"employeeID";"firstName";"lastName";"department";"initSecClearance";"primaryBranchID";"DateOfBirth"
"100000000";"Edward";"Newton";"Marketing";"Restricted";100;"1999-03-30"
"100000001";"Jason";"Phillips";"Loan Processing";"Unclassified";100;"1972-01-15"
"100000002";"Justin";"King";"Investment Banking";"Unclassified";102;"1999-03-24"
"100000003";"Tonya";"Hawkins";"Mortgage Services";"Confidential";101;"2001-03-18"
"100000004";"Ryan";"Jackson";"Human Resources";"Secret";102;"1991-05-15"
"100000005";"Marcus";"Ford";"Mortgage Services";"Confidential";101;"1987-05-06"
"100000006";"Heather";"Anderson";"Human Resources";"Confidential";102;"1998-08-22"
"100000007";"Mark";"Johnson";"Marketing";"Unclassified";101;"1984-02-29"
"100000008";"Edward";"Perry";"Human Resources";"Secret";101;"2002-07-13"
"100000009";"Linda";"Jackson";"Risk Management";"Confidential";101;"1970-05-30"
"100000010";"George";"Anderson";"Investment Banking";"Confidential";101;"1993-04-25"
"100000011";"Joel";"Roy";"Loan Processing";"Top Secret";102;"2002-05-19"
"100000012";"Katelyn";"Barrera";"Marketing";"Secret";100;"1982-01-27"
"100000013";"Jennifer";"Richard";"Mortgage Services";"Restricted";100;"1977-10-08"
"100000014";"Amanda";"Wright";"Loan Processing";"Restricted";101;"1985-03-28"
"100000015";"Donna";"Lane";"Risk Management";"Confidential";100;"2003-06-23"
"100000016";"Ronald";"Gibbs";"Compliance";"Restricted";100;"1993-06-23"
"100000017";"Rebecca";"Flores";"Customer Service";"Confidential";100;"1973-06-09"
"100000018";"Kristi";"Hall";"Customer Service";"Restricted";100;"1995-08-09"
"100000019";"Pamela";"Salinas";"Accounting";"Top Secret";100;"1962-02-01"
"100000020";"Emma";"Abbott";"Marketing";"Secret";102;"1983-10-04"
"100000021";"Karen";"Hart";"Loan Processing";"Top Secret";102;"2000-11-25"
"100000022";"Andrew";"Miller";"Human Resources";"Secret";100;"1962-02-27"
"100000023";"Cody";"Gonzalez";"Loan Processing";"Secret";102;"2000-04-27"
"100000024";"Scott";"Jones";"Risk Management";"Unclassified";101;"1971-03-11"
"100000025";"Michael";"Chen";"Compliance";"Secret";102;"1996-01-23"
"100000026";"Connie";"Li";"Marketing";"Restricted";101;"1992-06-27"
"100000027";"Sarah";"Berger";"Accounting";"Restricted";102;"2001-06-25"
"100000028";"Andrea";"Jenkins";"Risk Management";"Secret";102;"1966-08-26"
